,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
9159,Dawn of the Dead,Enchantment,5,BBB,R,EX,2.23,Torment,"At the beginning of your upkeep, you lose 1 life.At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield. That creature gains haste until end of turn. Exile it at the beginning of the next end step."
9160,Nezumi Shortfang,1/1 Creature - Rat Rogue,2,B,R,NM,2.79,Champions of Kamigawa,"{1}{B}, {T}: Target opponent discards a card. Then if that player has no cards in hand, flip Nezumi Shortfang.-----Stabwhisker the OdiousLegendary Creature - Rat ShamanAt the beginning of each opponent’s upkeep, that player loses 1 life for each card fewer than three in their hand.3/3"
9161,Timeless Dragon (Retro Frame),5/5 Creature - Dragon,5,WW,R,NM,2.79,Modern Horizons 2 Variants,FlyingPlainscycling {2}Eternalize {2}{W}{W}
9162,Stone Rain,Sorcery,3,R,C,EX,2.23,Unlimited,Destroy target land.
9163,Tsabo's Web,Artifact,2,,R,EX,2.23,Invasion,"When Tsabo's Web enters the battlefield, draw a card.Each land with an activated ability that isn't a mana ability doesn't untap during its controller's untap step."
9164,Silver Myr,1/1 Artifact Creature - Myr,2,,C,NM,0.39,Scars of Mirrodin,{T}: Add {U} to your mana pool.
9165,"Mikaeus, the Lunarch",0/0 Legendary Creature - Human Cleric,2,XW,M,NM,0.79,Commander Legends: Battle for Baldur's Gate,"Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it.{T}: Put a +1/+1 counter on Mikaeus.{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control."
9166,Geyadrone Dihada,Legendary Planeswalker - Dihada,4,UBR,M,NM,0.79,Modern Horizons 2,Protection from permanents with corruption counters on them[+1]: Each opponent loses 2 life and you gain 2 life. Put a corruption counter on up to one other target creature or planeswalker.[-3]: Gain control of target creature or planeswalker until end of turn. Untap it and put a corruption counter on it. It gains haste until end of turn.[-7]: Gain control of each permanent with a corruption counter on it.|4|
9167,Tormod's Crypt,Artifact,0,,U,EX,0.63,2013 Core Set,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard."
9168,Terisian Mindbreaker (Extended Art),6/4 Artifact Creature - Juggernaut,7,,R,NM,0.79,The Brothers' War Variants,"Whenever Terisian Mindbreaker attacks, defending player mills half their library, rounded up.Unearth {1}{U}{U}{U} "
9169,"Edgar, Charmed Groom",4/4 Legendary Creature - Vampire Noble,4,WB,R,NM,0.79,Innistrad: Crimson Vow,"Other Vampires you control get +1/+1.When Edgar, Charmed Groom dies, return it to the battlefield transformed under its owner's control.Edgar Markov's CoffinLegendary ArtifactAt the beginning of your upkeep, create a 1/1 white and black Vampire creature token with lifelink and put a bloodline counter on Edgar Markov's Coffin. Then if there are three or more bloodline counters on it, remove those counters and transform it."
9170,"Etali, Primal Storm (Store Promo Foil)",6/6 Legendary Creature - Elder Dinosaur,6,RR,R,EX,0.63,Promotional,"Whenever Etali, Priaml Storm attacks, exile the top card of each player's library, then you may cast any number of nonland cards exiled this way without paying their mana cost."
9171,Stoneskin,Enchantment - Aura,3,W,U,NM,0.35,Commander Legends: Battle for Baldur's Gate,FlashEnchant creatureEnchanted creature gets +0/+10.
9172,Rip Apart,Sorcery,2,RW,U,NM,0.35,Strixhaven: School of Mages,Choose one -
9173,Plains (267),Basic Land - Plains,0,,L,NM,0.35,Zendikar Rising,
9174,Elminster,Legendary Planeswalker - Elminster,5,WU,M,NM,0.99,Commander Legends: Battle for Baldur's Gate,"Whenever you scry, your next instant or sorcery spell you cast this turn costs {X} less to cast, where X is the number of cards looked at while scrying this way.[+2]: Draw a card, then scry 2.[-3]: Exile the top card of your library. Create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to that card's mana value.Elminster can be your commander.|5|"
9175,Vendilion Clique,3/1 Legendary Creature - Faerie Wizard,3,UU,M,NM,6.49,Masters 25,"FlashFlyingWhen Vendilion Clique enters the battlefield, look at target player’s hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card."
9176,"Kaheera, the Orphanguard (Extended Art)",3/2 Legendary Creature - Cat Beast,3,(G/W)(G/W),R,NM,6.49,Ikoria: Lair of Behemoths Variants,"Companion - Each creature card in your starting deck is a Cat, Elemental, Nightmare, Dinosaur, or Beast card. VigilanceEach other creature you control that's a Cat, Elemental, Nightmare, Dinosaur, or Beast gets +1/+1 and has vigilance."
9177,The Book of Exalted Deeds (Promo Pack),Legendary Artifact,3,WWW,M,NM,6.49,Promo Pack,"At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains ""You can't lose the game and your opponents can't win the game."" Activate only as a sorcery."
9178,Honden of Seeing Winds,Legendary Enchantment - Shrine,5,U,U,NM,0.99,Mystery Booster/The List,"At the beginning of your upkeep, draw a card for each Shrine you control."
9179,Standard Bearer,1/1 Creature - Human Flagbearer,2,W,C,NM,0.99,Apocalypse,"While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able."
9180,Selfless Squire,1/1 Creature - Human Soldier,4,W,R,NM,0.99,Commander 2021,"FlashWhen Selfless Squire enters the battlefield, prevent all damage that would be dealt to you this turn.Whenever damage that would be dealt to you is prevented, put that many +1/+1 counters on Selfless Squire."
9181,Hour of Revelation, Sorcery,6,WWW,R,NM,0.99,Hour of Devastation,Hour of Revelation costs {3} less to cast if there are ten or more nonland permanents on the battlefield.Destroy all nonland permanents.
9182,Grimoire of the Dead,Legendary Artifact,4,,M,NM,0.99,Commander 2019,"{1}, {T}, Discard a card: Put a study counter on Grimoire of the Dead.{T}, Remove three study counters from Grimoire of the Dead and sacrifice it: Put all creature cards from all graveyards onto the battlefield under your control. They’re black Zombies in addition to their other colors and types."
9183,"Torens, Fist of the Angels",2/2 Legendary Creature - Human Cleric,3,GW,R,NM,0.99,Innistrad: Crimson Vow,"Training Whenever you cast a creature spell, create a 1/1 green and white Human Soldier creature token with training."
9184,Reliquary Tower,Land,0,,U,NM,4.49,Commander 2021,You have no maximum hand size.{T}: Add {C}.
9185,"Ajani, Caller of the Pride",Legendary Planeswalker - Ajani,3,WW,M,NM,4.49,Starter Commander Decks,"[+1]: Put a +1/+1 counter on up to one target creature.[-3]: Target creature gains flying and double strike until end of turn.[-8]: Put X 2/2 white Cat creature tokens onto the battlefield, where X is your life total.|4|"
9186,Essence Warden,1/1 Creature - Elf Shaman,1,G,C,NM,4.49,Duel Decks: Ajani Vs. Nicol Bolas,"Whenever another creature enters the battlefield, you gain 1 life."
9187,Staff of Domination (Extended Art),Artifact,3,,R,NM,4.49,Commander Legends Variants,"{1}: Untap Staff of Domination.{2}, {T}: You gain 1 life.{3}, {T}: Untap target creature.{4}, {T}: Tap target creature.{5}, {T}: Draw a card."
9188,Heaven's Gate,Instant,1,W,U,EX,3.59,Legends,Any number of target creatures become white until end of turn.
9189,Whispersilk Cloak,Artifact - Equipment,3,,U,NM,4.49,Commander 2016,Equipped creature can't be blocked and has shroud. Equip {2}
9190,Vodalian Hexcatcher (Prerelease Foil),1/1 Creature - Merfolk Wizard,2,U,R,NM,4.49,Promotional,FlashOther Merfolk you control get +1/+1.Sacrifice a Merfolk: Counter target noncreature spell unless its controller pays {1}.
9191,Dawn of Hope (Prerelease Foil), Enchantment,2,W,R,NM,4.49,Promotional,"Whenever you gain life, you may pay {2}. If you do, draw a card.{3}{W}: Create a 1/1 white Soldier creature token with lifelink."
9192,Island (405 - Retro Frame),Basic Land - Island,0,,L,NM,0.49,Dominaria Remastered Variants,
9193,Indestructibility,Enchantment - Aura,4,W,R,NM,1.49,2014 Core Set,Enchant permanentEnchanted permanent has indestructible.
9194,"Cadric, Soul Kindler (Extended Art)",4/3 Legendary Creature - Dwarf Wizard,4,RW,R,NM,1.49,Dominaria United Commander Decks Variants,"The ""legend rule"" doesn't apply to tokens you control.Whenever another nontoken legendary permanent enters the battlefield under your control, you may pay {1}. If you do, create a token that's a copy of it. That token gains haste. Sacrifice it at the beginning of the next end step."
9195,Grand Architect,1/3 Creature - Vedalken Artificer,3,UU,R,NM,1.49,Scars of Mirrodin,Other blue creatures you control get +1/+1.{U}: Target artifact creature becomes blue until end of turn.Tap an untapped blue creature you control: Add {2} to your mana pool. Spend this mana only to cast artifact spells or activate abilities or artifacts.
9196,Silent-Blade Oni,6/5 Creature - Demon Ninja,7,UUBB,R,VG,1.04,Commander 2018,"Ninjutsu {4}{U}{B} Whenever Silent-Blade Oni deals combat damage to a player, look at that player's hand. You may cast a nonland card in it without paying that card's mana cost."
9197,Winged Sliver (Foil),1/1 Creature - Sliver,2,U,R,NM,1.49,Secret Lair,All Sliver creatures have flying.
9198,"Hurkyl, Master Wizard",2/4 Legendary Creature - Human Wizard Advisor,3,UU,R,NM,0.35,The Brothers' War,"At the beginning of you end step, if you've cast a noncreature spell this turn, reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order."
9199,Crumbling Necropolis,Land,0,,U,NM,0.35,"Universes Beyond: Warhammer 40,000","Crumbling Necropolis enters the battlefield tapped.{T}: Add {U}, {B}, or {R}."
9200,Mountain (277),Basic Land - Mountain,0,,L,NM,0.35,Zendikar Rising,
9201,Jared Carthalion,Legendary Planeswalker - Jared,5,WUBRG,M,NM,1.29,Dominaria United Commander Decks,"[+1]: Create a 3/3 Kavu creature token with trample that's all colors.[-3]: Choose up to two target creatures. For each of them, put a number of +1/+1 counters on it equal to the number of colors it is.[-6]: Return target multicolored card from your graveyard to your hand. If that card was all colors, draw a card and create two Treasure tokens.Jared Carthalion can be your commander.|5|"
9202,Ancient Excavation,Instant,4,UB,U,NM,1.29,Commander 2016,"Draw cards equal to the number of cards in your hand, then discard a card for each card drawn this way.Basic landcycling {2} "
9203,Tainted Wood,Land,0,,U,EX,1.03,Duel Decks: Jace Vs. Vraska,{T}: Add {1} to your mana pool.{T}: Add {B} or {G} to your mana pool. Activate this ability only if you control a Swamp.
9204,Mentor of the Meek (Borderless),2/2 Creature - Human Soldier,3,W,U,NM,1.29,Double Masters 2022 Variants,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card."
9205,"Squee, Goblin Nabob",1/1 Legendary Creature - Goblin,3,R,R,NM,1.29,Ultimate Masters,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand."
9206,Zulaport Cutthroat,1/1 Creature - Human Rogue Ally,2,B,U,NM,1.29,Masters 25,"Whenever Zulaport Cutthroat or another creature you control dies, each opponent loses 1 life and you gain 1 life."
9207,Caverns of Despair,World Enchantment,4,RR,R,EX,49.29,Legends,No more than two creatures may attack each combat.No more than two creatures may block each combat.
9208,Hunting Cheetah,2/3 Creature - Cat,3,G,U,EX,49.29,Portal 3K,"Whenever Hunting Cheetah deals damage to an opponent, you may search your library for a Forest card, reveal that card, put it into your hand, then shuffle your library."
9209,Island (234 A - Full Art),Basic Land - Island,0,,L,EX,0.55,Zendikar,{U}
9210,Exotic Orchard,Land,0,,R,NM,0.59,Adventures in the Forgotten Realms Commander Decks,{T}: Add one mana of any color that a land an opponent controls could produce.
9211,Myriad Landscape,Land,0,,U,NM,0.49,Commander 2020,"Myriad Landscape enters the battlefield tapped.{T}: Add {C}.{2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle your library."
9212,Hordeling Outburst,Sorcery,3,RR,U,NM,0.59,Khans of Tarkir,Put three 1/1 red Goblin creature tokens onto the battlefield. 
9213,Crawling Sensation,Enchantment,3,G,U,NM,0.49,Shadows Over Innistrad,"At the beginning of your upkeep, you may mill two cards.Whenever one or more land cards are put into your graveyard from anywhere for the first time each turn, put a 1/1 green Insect creature token onto the battlefield."
9214,Naturalize,Instant,2,G,C,VG,0.34,Onslaught,Destroy target artifact or enchantment.
9215,Transmogrant Altar,Artifact,3,,U,NM,0.25,The Brothers' War,"{B}, Sacrifice a creature: Add {C}{C}{C}.{2}, {T}, Sacrifice a creature: Create a 3/3 colorless Zombie artifact creature token. Activate only as a sorcery."
9216,Thermo-Alchemist,0/3 Creature - Human Shaman,2,R,U,NM,0.25,Innistrad: Midnight Hunt,"Defender{T}: Thermo-Alchemist deals 1 damage to each opponent.Whenever you cast an instant or sorcery spell, untap Thermo-Alchemist."
9217,Smash to Dust,Sorcery,2,R,C,NM,0.25,Dominaria United,Choose on -
9218,Voldaren Estate,Land,0,,R,NM,0.39,Innistrad: Crimson Vow,"{T}: Add {C}.{T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell.{5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. "
9219,Beast Within,Instant,3,G,U,NM,1.99,Duel Decks: Heroes Vs. Monsters,Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.
9220,"Emblem (Chandra, Roaring Flame)",Emblem - Chandra,0,,S,EX,1.59,Magic Origins,"At the beginning of your upkeep, this emblem deals 3 damage to you."
9221,Circle of Despair,Enchantment,3,WB,R,EX,1.59,Mirage,"{1}, Sacrifice a creature: The next time a source of your choice would deal damage to any target this turn, prevent that damage."
9222,Island (D),Basic Land - Island,0,,L,EX,1.59,Mirage,{U}
9223,Jabari's Influence,Instant,5,WW,R,EX,1.59,Mirage,"Cast Jabari's Influence only after combat.Gain control of target nonartifact, nonblack creature that attacked you this turn and put a -1/-0 counter on it."
9224,Myojin of Life's Web (Foil),8/8 Legendary Creature - Spirit,9,GGG,R,NM,1.99,Mystery Booster/The List,Myojin of Life’s Web enters the battlefield with a divinity counter on it if you cast it from your hand.Myojin of Life’s Web has indestructible as long as it has a divinity counter on it.Remove a divinity counter from Myojin of Life’s Web: Put any number of creature cards from your hand onto the battlefield.
9225,Unclaimed Territory (Magic League Foil),Land,0,,U,NM,1.99,Promotional,"As Unclaimed Territory enters the battlefield, choose creature type.{T}: Add {C} to your mana pool.{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
9226,Spire of Industry,Land,0,,R,NM,1.99,Kamigawa: Neon Dynasty Commander Decks,"{T}: Add {C}.{T}, Pay 1 Life: Add one mana of any color. Activate this ability only if you control an artifact."
9227,Ramunap Ruins,Land - Desert,0,,S,NM,1.99,Time Spiral Remastered,"{T}: Add {C}.{T}, Pay 1 life: Add {R}.{2}{R}{R}, {T}, Sacrifice a Desert: Ramunap Ruins deals 2 damage to each opponent."
9228,Sadistic Hypnotist,2/2 Creature - Human Minion,5,BB,U,EX,1.59,Odyssey,Sacrifice a creature: Target player discards two cards. Activate this ability only any time you could cast a sorcery.
9229,Master Biomancer,2/4 Creature - Elf Wizard,4,GU,R,NM,0.79,Double Masters 2022,Each other creature you control enters the battlefield with a number of additional +1/+1 counters on it equal to Master Biomancer’s power and as a Mutant in addition to its other types.
9230,Clue Token // Astartes Warrior Token,Token Artifact - Clue,0,,S,EX,0.63,"Universes Beyond: Warhammer 40,000","{2}, Sacrifice this artifact: Draw a card.Astartes Warrior TokenToken Creature - Astartes WarriorVigilance2/2"
9231,Falkenrath Noble,2/2 Creature - Vampire,4,B,U,NM,0.99,Innistrad,"FlyingWhenever Falkenrath Noble or another creature dies, target player loses 1 life and you gain 1 life. "
9232,Rampant Growth,Sorcery,2,G,C,NM,0.99,7th Edition,Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
9233,"Geralf, Visionary Stitcher",1/4 Legendary Creature - Human Wizard,3,U,R,NM,0.99,Innistrad: Crimson Vow,"Zombies you control have flying.{U}, {T}, Sacrifice another nontoken creature: Create an X/X blue Zombie creature token, where X is the sacrificed creature's toughness."
9234,Bear Token,2/2 Token Creature - Bear,0,,S,NM,0.29,The Brothers' War,
9235,Butcher of Malakir,5/4 Creature - Vampire Warrior,7,BB,R,NM,0.35,Commander Legends: Battle for Baldur's Gate,"FlyingWhenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature."
9236,Sicarian Infiltrator Token // Soldier Token,1/2 Token Artifact Creature - Human Soldier,0,,S,NM,0.39,"Universes Beyond: Warhammer 40,000","When Sicarian Infiltrator enters the battlefield, draw a card.Soldier TokenToken Creature - Soldier1/1"
9237,Mask of Memory,Artifact - Equipment,2,,U,NM,0.39,Commander Legends,"Whenever equipped creature deals combat damage to a player, you may draw two cards. If you do, discard a card.Equip {1}"
9238,Munitions Expert,1/1 Creature - Goblin,2,BR,U,NM,0.49,Modern Horizons,"FlashWhen Munitions Expert enters the battlefield, you may have it deal damage to target creature or planeswalker equal to the number of Goblins you control."
9239,Sepulchral Primordial,5/4 Creature - Avatar,7,BB,R,NM,1.79,Starter Commander Decks,"IntimidateWhen Sepulchral Primordial enters the battlefield, for each opponent, you may put up to one target creature card from that player's graveyard onto the battlefield under your control."
9240,Peer Pressure,Sorcery,4,U,R,EX,1.43,Onslaught,"Choose a creature type. If you control more creatures of that type than each other player, you gain control of all creatures of that type. "
9241,Incendiary Command,Sorcery,5,RR,R,NM,1.79,Commander 2013,Choose two -
9242,Discontinuity,Instant,6,UUU,M,NM,1.79,Core Set 2021,"As long as it's your turn, this spell costs {2}{U}{U} less to cast.End the turn. "
9243,Body Snatcher,2/2 Creature - Phyrexian Minion,4,BB,R,VG,1.25,Urza's Destiny,"When Body Snatcher enters the battlefield, exile it unless you discard a creature card.When Body Snatcher dies, exile it and return target creature card from your graveyard to the battlefield."
9244,Chasm Skulker,1/1 Creature - Squid Horror,3,U,R,NM,1.79,Commander 2016,"Whenever you draw a card, put a +1/+1 counter on Chasm Skulker.When Chasm Skulker dies, create X 1/1 blue Squid creature tokens with islandwalk, where X is the number of +1/+1 counters on Chasm Skulker. "
9245,Lightning Bolt (Masters 25),Instant,1,R,U,EX,1.43,Mystery Booster/The List,Lightning Bolt deals 3 damage to any target.
9246,Baleful Strix,1/1 Artifact Creature - Bird,2,UB,R,NM,2.49,Adventures in the Forgotten Realms Commander Decks,"Flying, deathtouchWhen Baleful Strix enters the battlefield, draw a card."
9247,Argivian Find (Weatherlight),Instant,1,W,U,NM,2.49,Mystery Booster/The List,Return target artifact or enchantment card from your graveyard to your hand.
9248,General Kudro of Drannith,3/3 Legendary Creature - Human Soldier,3,WB,M,NM,2.49,Mystery Booster/The List,"Other Humans you control get +1/+1.Whenever General Kudro of Drannith or another Human enters the battlefield under your control, exile target card from an opponent's graveyard.{2}, Sacrifice two Humans: Destroy target creature with power 4 or greater."
9249,Balance (Foil),Sorcery,2,W,M,NM,2.49,Secret Lair,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way."
9250,Haven of the Spirit Dragon,Land,0,,R,NM,2.49,Commander 2017,"{T}: Add {C} to your mana pool.{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a Dragon creature spell.{2},{T}, Sacrifice Haven of the Spirit Dragon: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand."
9251,"Ixidor, Reality Sculptor",3/4 Legendary Creature - Human Wizard,5,UU,R,EX,1.99,Onslaught,Face-down creatures get +1/+1.{2}{U}: Turn target face-down creature face up.
9252,Lightning Helix (Foil Etched),Instant,2,RW,R,NM,2.49,Strixhaven Mystical Archive,Lightning Helix deals 3 damage to any target and you gain 3 life.
9253,Mossbridge Troll,5/5 Creature - Troll,7,GG,R,EX,1.99,Shadowmoor,"If Mossbridge Troll would be destroyed, regenerate it.Tap any number of untapped creatures you control other than Mossbridge Troll with total power 10 or greater: Mossbridge Troll gets +20/+20 until end of turn."
9254,Soothsaying,Enchantment,1,U,U,NM,2.49,Mystery Booster/The List,"{3}{U}{U}: Shuffle your library.{X}: Look at the top X cards of your library, then put them back in any order."
9255,Slagstone Refinery,Artifact,4,,U,NM,0.25,The Brothers' War,"Whenever Slagstone Refinery or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield, create a tapped Powerstone token. "
9256,Dragonspeaker Shaman,2/2 Creature - Human Barbarian Shaman,3,RR,U,NM,2.29,Jumpstart,Dragon spells you cast cost {2} less to cast.
9257,Mistveil Plains,Land - Plains,0,,U,NM,2.29,Shadowmoor,"Mistveil Plains enters the battlefield tapped.{W}, {T}: Put target card from your graveyard on the bottom of your library. Activate this ability only if you control two or more white permanents."
9258,Endless Atlas,Artifact,2,,R,NM,2.29,Double Masters,"{2}, {T}: Draw a card. Activate this ability only if you control three or more lands with the same name."
9259,Baleful Strix,1/1 Artifact Creature - Bird,2,UB,U,NM,2.29,Mystery Booster/The List,"Flying, deathtouchWhen Baleful Strix enters the battlefield, draw a card."
9260,Bringer of the Red Dawn,5/5 Creature - Bringer,9,RR,R,EX,1.83,Fifth Dawn,"You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Red Dawn's mana cost.TrampleAt the beginning of your upkeep, you may untap target creature and gain control of it until end of turn. That creature gains haste until end of turn."
9261,Wretched Confluence,Instant,5,BB,R,EX,1.83,Commander 2015,Choose three. You may choose the same mode more than once.
9262,"Strefan, Maurer Progenitor (Extended Art)",3/2 Legendary Creature - Vampire Noble,4,BR,M,NM,2.29,Innistrad: Crimson Vow Commander Decks Variants,"FlyingAt the beginning of your end step, create a Blood token for each player who lost life this turn.Whenever Strefan attacks, you may sacrifice two Blood tokens. If you do, you may put a Vampire card from your hand onto the battlefield tapped and attacking. It gains indestructible until end of turn."
9263,Erratic Portal,Artifact,4,,R,NM,2.29,Mystery Booster/The List,"{1}, {T}: Return target creature to its owner's hand unless its controller pays {1}."
9264,Woe Strider,3/2 Creature - Horror,3,B,R,NM,0.59,Commander Legends: Battle for Baldur's Gate,"When Woe Strider enters the battlefield, create a 0/1 white Goat creature token.Sacrifice another creature: Scry 1.Escape - {3}{B}{B}, Exile four other cards from your graveyard.Woe Strider escapes with two +1/+1 counters on it."
9265,Fallaji Archaeologist,0/3 Creature - Human Scout,2,U,C,NM,0.25,The Brothers' War,"When Fallaji Archaeologist enters the battlefield, mill three cards. You may put a noncreature, nonland card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on Fallaji Archaeologist. "
9266,Swamp (Arena 2001 Foil),Basic Land - Swamp,0,,S,EX,16.14,Promotional,
9267,Ponder (Non-Foil),Sorcery,1,U,R,NM,18.99,Secret Lair,"Look at the top three cards of your library, then put them back in any order. You may shuffle your library.Draw a card."
9268,Psionic Entity,2/2 Creature - Illusion,5,U,R,NM,18.99,Legends,{T}: Psionic Entity deals 2 damage to any target and 3 damage to itself.
9269,Rakdos Signet (Non-Foil),Artifact,2,,R,NM,18.99,Secret Lair,"{1}, {T}: Add {B}{R}."
9270,Birds of Paradise (176 - Foil),0/1 Creature - Bird,1,G,R,NM,18.99,Secret Lair,Flying{T}: Add one mana of any color.
9271,Bramblewood Paragon (Extended Art),2/2 Creature - Elf Warrior,2,G,S,NM,18.99,Promotional,Each other Warrior creature you control enters the battlefield with an additional +1/+1 counter on it. Each creature you control with a +1/+1 counter on it has trample.
9272,Kodama of the West Tree (Foil Etched),3/3 Legendary Creature - Spirit,3,G,M,NM,18.99,Kamigawa: Neon Dynasty Variants,"ReachModified creatures you control have trample. Whenever a modified creature you control deals combat damage to a player, search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
9273,Red Ward,Enchantment - Aura,1,W,U,EX,15.19,Beta,Enchant creatureEnchanted creature has protection from red. This effect doesn't remove Red Ward.
9274,Benalish Hero,1/1 Creature - Human Soldier,1,W,C,EX,7.59,Beta,Banding 
9275,Mountain (106 - Foil),Basic Land - Mountain,0,,R,NM,9.49,Secret Lair,
9276,Feldon's Cane,Artifact,1,,U,EX,7.59,Antiquities,"{T}, Exile Feldon's Cane: Shuffle your graveyard into your library."
9277,Monastery Mentor,2/2 Creature - Human Monk,3,W,M,NM,9.49,Mystery Booster/The List,"ProwessWhenever you cast a noncreature spell, create a 1/1 white Monk creature token with prowess."
9278,Evil Eye of Orms-By-Gore,3/6 Creature - Eye,5,B,U,NM,9.49,Legends,Non-Eye creatures you control can't attack.Evil Eye of Orms-by-Gore can't be blocked except by Walls.
9279,Bootleggers' Stash (Prerelease Foil),Artifact,6,G,M,NM,9.49,Promotional,"Lands you control have ""{T}: Create a Treasure token."""
9280,Taurean Mauler,2/2 Creature - Shapeshifter,3,R,R,NM,0.79,Adventures in the Forgotten Realms Commander Decks,"Changeling Whenever an opponent casts a spell, you may put a +1/+1 counter on Taurean Mauler."
9281,"Atarka, World Render",6/4 Legendary Creature - Dragon,7,RG,R,NM,0.79,Adventures in the Forgotten Realms Commander Decks,"Flying, trampleWhenever a Dragon you control attacks, it gains double strike until end of turn."
9282,Feed the Swarm,Sorcery,2,B,C,NM,0.79,Innistrad: Midnight Hunt Commander Decks,Destroy target creature or enchantment and opponent controls. You lose life equal to that permanent's mana value.
9283,Deathsprout,Instant,4,BBG,U,NM,0.79,Commander 2020,"Destroy target creature. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
9284,Rampant Growth,Sorcery,2,G,C,NM,0.79,10th Edition,Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
9285,"Thrasta, Tempest's Roar",7/7 Legendary Creature - Dinosaur,12,GG,M,NM,0.79,Modern Horizons 2,"This spell costs {3} less to cast for each other spell cast this turn.Trample, hasteTrample over planeswalkers Thrasta, Tempest's Roar has hexproof as long as it entered the battlefield this turn."
9286,Whiptongue Hydra,4/4 Creature - Lizard Hydra,6,G,R,NM,0.79,Kamigawa: Neon Dynasty Commander Decks,"ReachWhen Whiptongue Hydra enters the battlefield, destroy all creatures with flying. Put a +1/+1 counter on Whiptongue Hydra for each creature destroyed this way."
9287,Possessed Portal,Artifact,8,,R,NM,2.99,Fifth Dawn,"If a player would draw a card, that player skips that draw instead.At the beginning of each end step, each player sacrifices a permanent unless they discard a card."
9288,Dragonlair Spider,5/6 Creature - Spider,6,RRGG,R,NM,2.99,Planechase Anthology,"ReachWhenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield."
9289,Venom Sliver,1/1 Creature - Sliver,2,G,U,NM,2.99,Mystery Booster/The List,Sliver creatures you control have deathtouch. 
9290,Heartless Hidetsugu,4/3  Legendary Creature - Ogre Shaman,5,RR,R,NM,2.99,Conspiracy,"{T}: Heartless Hidetsugu deals damage to each player equal to half that player's life total, rounded down."
9291,Honor of the Pure (Buy-a-Box Foil),Enchantment,2,W,R,EX,2.39,Promotional,White creatures you control get +1/+1.
9292,Tilonalli's Summoner,1/1 Creature - Human Shaman,2,R,R,NM,1.29,Rivals of Ixalan,"Ascend Whenever Tilonalli's Summoner attacks, you may pay {X}{R}. If you do, create X 1/1 red Elemental creature tokens that are tapped and attacking. At the beginning of the next end step, exile those tokens unless you have the city's blessing."
9293,Knights' Charge (Brawl Deck Card),Enchantment,3,WB,R,NM,1.29,Throne of Eldraine,"Whenever a Knight you control attacks, each opponent loses 1 life and you gain 1 life.{6}{W}{B}, Sacrifice Knights' Charge: Return all Knight creature cards from your graveyard to the battlefield."
9294,Victimize,Sorcery,3,B,U,NM,1.29,Mystery Booster/The List,"Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped."
9295,Mana Geyser,Sorcery,5,RR,C,NM,1.29,Game Night: Free-for-All,Add {R} for each tapped land your opponents control.
9296,"Azor, the Lawbringer",6/6 Legendary Creature - Sphinx,6,WWUU,M,NM,1.29,Rivals of Ixalan,"FlyingWhen Azor, the Lawbringer enters the battlefield, each opponent can't cast instant or sorcery spells during that player's next turn.Whenever Azor attacks, you may pay {X}{W}{U}{U}. If you do, you gain X life and draw X cards."
